student_gpa_band,student_gre_band,program_id,admit_result,term
3.7-3.9,300-309,P003581,Admit,Fall 2025
3.4-3.5,320-329,P003269,Admit,Fall 2025
3.5-3.7,320-329,P004370,Admit,Fall 2023
3.5-3.7,320-329,P003263,Admit,Fall 2023
3.9-4.0,310-319,P003084,Reject,Fall 2025
3.2-3.4,,P000001,Admit,Fall 2022
3.5-3.7,320-329,P000469,Admit,Fall 2025
3.7-3.9,,P003874,Admit,Fall 2026
3.2-3.4,,P001356,Admit,Fall 2023
3.4-3.5,310-319,P002773,Reject,Fall 2026
3.4-3.5,310-319,P002811,Reject,Fall 2024
3.7-3.9,310-319,P003737,Admit,Fall 2025
3.0-3.2,320-329,P001576,Reject,Fall 2024
3.9-4.0,,P002471,Reject,Fall 2026
3.5-3.7,,P002973,Waitlist,Fall 2023
3.9-4.0,320-329,P000906,Admit,Fall 2024
3.9-4.0,,P003211,Waitlist,Fall 2025
3.2-3.4,,P002541,Reject,Fall 2021
3.5-3.7,330-340,P002892,Admit,Fall 2024
3.2-3.4,320-329,P001278,Admit,Fall 2025
3.5-3.7,,P003804,Reject,Fall 2023
3.9-4.0,,P001127,Waitlist,Fall 2026
3.5-3.7,320-329,P003155,Admit,Fall 2022
3.2-3.4,300-309,P002098,Reject,Fall 2025
3.7-3.9,320-329,P004729,Admit,Fall 2023
3.7-3.9,320-329,P001369,Admit,Fall 2023
3.5-3.7,,P001450,Reject,Fall 2025
3.7-3.9,310-319,P003934,Reject,Fall 2025
3.2-3.4,,P001434,Reject,Fall 2024
3.4-3.5,320-329,P000424,Admit,Fall 2026
3.2-3.4,,P004305,Admit,Fall 2023
3.7-3.9,290-299,P001984,Admit,Fall 2026
3.7-3.9,310-319,P004564,Admit,Fall 2026
3.7-3.9,,P000917,Admit,Fall 2025
2.8-3.0,,P002901,Admit,Fall 2026
3.5-3.7,310-319,P002833,Reject,Fall 2025
3.4-3.5,330-340,P001789,Waitlist,Fall 2026
3.7-3.9,310-319,P000038,Admit,Fall 2022
3.7-3.9,330-340,P001157,Admit,Fall 2026
3.7-3.9,,P002506,Waitlist,Fall 2024
3.2-3.4,320-329,P001256,Reject,Fall 2026
3.4-3.5,330-340,P001408,Admit,Fall 2023
3.5-3.7,290-299,P003286,Reject,Fall 2025
3.4-3.5,,P003974,Admit,Fall 2026
3.9-4.0,,P004843,Waitlist,Fall 2023
3.7-3.9,310-319,P004531,Reject,Fall 2022
3.7-3.9,,P000287,Admit,Fall 2025
3.4-3.5,330-340,P003917,Admit,Fall 2025
3.5-3.7,310-319,P002721,Admit,Fall 2024
3.7-3.9,300-309,P002827,Waitlist,Fall 2025
3.4-3.5,320-329,P000398,Reject,Fall 2024
3.4-3.5,310-319,P002307,Admit,Fall 2023
2.8-3.0,,P004813,Reject,Fall 2026
3.4-3.5,310-319,P002198,Admit,Fall 2026
3.5-3.7,310-319,P004354,Admit,Fall 2025
3.2-3.4,310-319,P004682,Admit,Fall 2026
3.4-3.5,320-329,P002010,Reject,Fall 2022
3.7-3.9,,P004373,Admit,Fall 2024
3.2-3.4,300-309,P003269,Admit,Fall 2023
3.4-3.5,300-309,P000894,Admit,Fall 2025
3.0-3.2,,P002756,Reject,Fall 2022
3.4-3.5,320-329,P001252,Waitlist,Fall 2024
3.5-3.7,,P003912,Admit,Fall 2026
3.7-3.9,,P003521,Reject,Fall 2024
3.2-3.4,300-309,P003304,Waitlist,Fall 2022
3.9-4.0,,P001233,Admit,Fall 2025
2.8-3.0,,P001384,Reject,Fall 2026
3.4-3.5,320-329,P003430,Reject,Fall 2024
3.9-4.0,,P000026,Admit,Fall 2023
3.5-3.7,330-340,P003878,Waitlist,Fall 2023
3.7-3.9,310-319,P004125,Admit,Fall 2024
3.7-3.9,,P004809,Reject,Fall 2021
3.9-4.0,310-319,P000001,Admit,Fall 2025
3.2-3.4,310-319,P001782,Reject,Fall 2024
3.7-3.9,,P002824,Reject,Fall 2024
3.5-3.7,310-319,P004862,Reject,Fall 2021
3.9-4.0,320-329,P003972,Admit,Fall 2022
3.2-3.4,300-309,P002509,Admit,Fall 2025
3.4-3.5,,P000447,Reject,Fall 2024
3.0-3.2,,P002661,Reject,Fall 2025
3.5-3.7,300-309,P000935,Waitlist,Fall 2026
2.8-3.0,,P003458,Reject,Fall 2024
3.5-3.7,300-309,P004368,Admit,Fall 2021
3.5-3.7,310-319,P003344,Admit,Fall 2023
3.7-3.9,310-319,P003623,Admit,Fall 2026
3.0-3.2,,P004986,Reject,Fall 2025
3.5-3.7,310-319,P001416,Admit,Fall 2022
3.7-3.9,330-340,P000457,Admit,Fall 2024
3.5-3.7,320-329,P001394,Admit,Fall 2026
3.5-3.7,330-340,P002274,Reject,Fall 2024
3.5-3.7,,P001156,Admit,Fall 2025
2.8-3.0,300-309,P002547,Reject,Fall 2026
3.5-3.7,,P002123,Admit,Fall 2026
3.7-3.9,310-319,P001129,Admit,Fall 2025
3.9-4.0,,P004707,Reject,Fall 2026
3.2-3.4,320-329,P004652,Reject,Fall 2026
2.8-3.0,310-319,P004477,Reject,Fall 2022
3.7-3.9,300-309,P000944,Reject,Fall 2026
3.9-4.0,320-329,P003030,Reject,Fall 2021
3.7-3.9,,P001261,Reject,Fall 2023
3.2-3.4,320-329,P003468,Admit,Fall 2021
3.5-3.7,310-319,P001668,Admit,Fall 2026
3.5-3.7,310-319,P000871,Waitlist,Fall 2024
3.5-3.7,,P003090,Admit,Fall 2023
3.9-4.0,,P002156,Waitlist,Fall 2025
3.5-3.7,290-299,P001933,Reject,Fall 2021
3.7-3.9,320-329,P000901,Admit,Fall 2023
3.9-4.0,320-329,P004777,Admit,Fall 2026
3.5-3.7,,P003358,Reject,Fall 2025
3.4-3.5,310-319,P004028,Waitlist,Fall 2025
3.4-3.5,320-329,P001170,Reject,Fall 2023
3.5-3.7,,P001636,Admit,Fall 2025
3.5-3.7,320-329,P004896,Reject,Fall 2025
3.5-3.7,,P003116,Waitlist,Fall 2026
3.9-4.0,,P002333,Waitlist,Fall 2024
3.0-3.2,310-319,P000936,Reject,Fall 2024
3.0-3.2,,P003456,Reject,Fall 2023
3.4-3.5,,P003209,Reject,Fall 2025
3.0-3.2,,P004606,Reject,Fall 2025
3.5-3.7,300-309,P001733,Admit,Fall 2022
3.7-3.9,310-319,P002233,Admit,Fall 2025
3.2-3.4,310-319,P003970,Admit,Fall 2025
3.2-3.4,,P004912,Admit,Fall 2026
3.9-4.0,,P004374,Admit,Fall 2025
3.5-3.7,310-319,P003113,Waitlist,Fall 2022
3.9-4.0,330-340,P003769,Waitlist,Fall 2026
3.2-3.4,,P000581,Admit,Fall 2026
3.5-3.7,320-329,P003849,Reject,Fall 2026
3.0-3.2,,P004503,Admit,Fall 2024
3.5-3.7,320-329,P004852,Admit,Fall 2023
3.5-3.7,330-340,P002992,Admit,Fall 2023
3.4-3.5,300-309,P002849,Reject,Fall 2024
3.2-3.4,310-319,P003244,Reject,Fall 2026
3.9-4.0,310-319,P000782,Admit,Fall 2026
3.5-3.7,310-319,P001054,Admit,Fall 2024
3.2-3.4,,P003846,Admit,Fall 2026
3.5-3.7,330-340,P001182,Admit,Fall 2022
3.9-4.0,,P002377,Waitlist,Fall 2026
3.2-3.4,300-309,P002532,Reject,Fall 2026
3.2-3.4,310-319,P003985,Admit,Fall 2021
3.7-3.9,310-319,P000405,Admit,Fall 2026
3.5-3.7,330-340,P003905,Waitlist,Fall 2025
2.8-3.0,320-329,P000831,Reject,Fall 2022
3.7-3.9,320-329,P002602,Reject,Fall 2023
3.0-3.2,310-319,P001978,Reject,Fall 2025
3.5-3.7,330-340,P002655,Admit,Fall 2022
3.2-3.4,,P004391,Admit,Fall 2026
3.5-3.7,330-340,P002053,Waitlist,Fall 2022
3.7-3.9,,P003114,Admit,Fall 2023
3.9-4.0,300-309,P003550,Reject,Fall 2024
3.5-3.7,,P003014,Reject,Fall 2023
3.2-3.4,,P002455,Reject,Fall 2026
3.5-3.7,310-319,P003193,Admit,Fall 2023
3.5-3.7,300-309,P003468,Reject,Fall 2025
3.4-3.5,,P004897,Reject,Fall 2023
3.9-4.0,300-309,P003270,Reject,Fall 2023
3.5-3.7,,P004896,Admit,Fall 2025
3.7-3.9,300-309,P001628,Admit,Fall 2025
3.5-3.7,290-299,P004395,Admit,Fall 2025
3.5-3.7,,P001363,Waitlist,Fall 2026
3.7-3.9,310-319,P001104,Admit,Fall 2022
3.2-3.4,320-329,P001923,Admit,Fall 2026
3.9-4.0,310-319,P003848,Waitlist,Fall 2022
3.5-3.7,330-340,P002288,Admit,Fall 2026
3.5-3.7,,P003456,Admit,Fall 2022
2.8-3.0,320-329,P000543,Reject,Fall 2025
3.0-3.2,310-319,P002904,Admit,Fall 2025
3.2-3.4,300-309,P003836,Reject,Fall 2026
3.9-4.0,,P003109,Admit,Fall 2025
3.7-3.9,,P003801,Waitlist,Fall 2026
3.2-3.4,330-340,P000053,Admit,Fall 2026
3.5-3.7,320-329,P004452,Reject,Fall 2026
3.5-3.7,320-329,P001824,Reject,Fall 2026
3.7-3.9,320-329,P002368,Reject,Fall 2025
3.0-3.2,,P004355,Reject,Fall 2022
3.9-4.0,320-329,P001495,Admit,Fall 2025
3.5-3.7,,P002372,Admit,Fall 2026
3.4-3.5,320-329,P003284,Reject,Fall 2025
3.7-3.9,320-329,P000648,Admit,Fall 2026
3.2-3.4,,P004896,Reject,Fall 2026
3.5-3.7,310-319,P002534,Reject,Fall 2025
3.0-3.2,290-299,P003022,Waitlist,Fall 2025
3.9-4.0,320-329,P000854,Admit,Fall 2022
3.9-4.0,,P003181,Reject,Fall 2025
3.7-3.9,310-319,P001006,Admit,Fall 2025
3.2-3.4,,P004975,Reject,Fall 2025
3.5-3.7,,P003128,Reject,Fall 2025
3.0-3.2,330-340,P000697,Reject,Fall 2024
3.2-3.4,,P000104,Waitlist,Fall 2024
3.4-3.5,290-299,P004622,Reject,Fall 2026
3.2-3.4,320-329,P004936,Waitlist,Fall 2024
3.9-4.0,330-340,P004455,Admit,Fall 2024
3.5-3.7,320-329,P000984,Admit,Fall 2026
2.8-3.0,,P004726,Reject,Fall 2025
2.8-3.0,,P001915,Admit,Fall 2024
3.5-3.7,300-309,P000522,Waitlist,Fall 2023
3.7-3.9,310-319,P002628,Reject,Fall 2025
3.9-4.0,320-329,P001541,Admit,Fall 2026
3.7-3.9,,P003656,Reject,Fall 2022
3.5-3.7,310-319,P003122,Admit,Fall 2025
3.5-3.7,310-319,P002994,Admit,Fall 2025
3.5-3.7,310-319,P004376,Reject,Fall 2026
3.2-3.4,,P000461,Admit,Fall 2023
3.9-4.0,,P004862,Admit,Fall 2025
3.2-3.4,320-329,P004831,Admit,Fall 2022
3.2-3.4,310-319,P004773,Admit,Fall 2022
3.7-3.9,320-329,P001588,Admit,Fall 2026
3.5-3.7,320-329,P001946,Admit,Fall 2021
3.0-3.2,320-329,P004069,Reject,Fall 2025
3.2-3.4,300-309,P000633,Reject,Fall 2024
3.7-3.9,310-319,P000713,Admit,Fall 2026
3.7-3.9,310-319,P001546,Admit,Fall 2022
3.4-3.5,320-329,P001884,Reject,Fall 2024
3.7-3.9,,P000832,Admit,Fall 2024
3.4-3.5,320-329,P004546,Admit,Fall 2024
3.5-3.7,320-329,P000556,Admit,Fall 2026
3.7-3.9,,P000845,Admit,Fall 2024
3.5-3.7,,P004232,Admit,Fall 2026
3.4-3.5,290-299,P001923,Waitlist,Fall 2025
3.7-3.9,300-309,P002291,Admit,Fall 2025
3.7-3.9,,P004486,Admit,Fall 2024
3.4-3.5,,P003088,Reject,Fall 2021
3.7-3.9,330-340,P001428,Admit,Fall 2026
3.5-3.7,320-329,P004008,Reject,Fall 2024
3.2-3.4,310-319,P002565,Reject,Fall 2025
3.5-3.7,330-340,P000973,Admit,Fall 2024
3.2-3.4,,P004438,Reject,Fall 2025
3.4-3.5,300-309,P000824,Admit,Fall 2025
3.2-3.4,,P003116,Reject,Fall 2026
2.8-3.0,,P000383,Waitlist,Fall 2026
3.7-3.9,320-329,P003541,Admit,Fall 2026
3.0-3.2,,P004033,Reject,Fall 2026
3.7-3.9,,P003124,Reject,Fall 2025
3.4-3.5,,P002102,Admit,Fall 2024
3.5-3.7,310-319,P002449,Reject,Fall 2023
3.2-3.4,310-319,P001026,Waitlist,Fall 2025
3.5-3.7,,P003838,Admit,Fall 2025
3.5-3.7,320-329,P002424,Admit,Fall 2026
3.7-3.9,,P004574,Reject,Fall 2024
3.5-3.7,310-319,P004658,Reject,Fall 2026
3.5-3.7,,P002964,Admit,Fall 2024
3.7-3.9,,P001103,Waitlist,Fall 2025
3.7-3.9,320-329,P000863,Admit,Fall 2026
3.0-3.2,,P003344,Admit,Fall 2026
3.0-3.2,,P003567,Reject,Fall 2026
3.7-3.9,330-340,P001337,Admit,Fall 2024
3.9-4.0,310-319,P002833,Admit,Fall 2026
3.7-3.9,,P000606,Admit,Fall 2025
3.4-3.5,,P001151,Admit,Fall 2025
3.4-3.5,300-309,P001985,Reject,Fall 2025
3.2-3.4,310-319,P003787,Waitlist,Fall 2026
3.5-3.7,310-319,P003990,Waitlist,Fall 2026
3.2-3.4,,P003109,Reject,Fall 2025
3.2-3.4,310-319,P000108,Reject,Fall 2021
3.9-4.0,300-309,P003404,Admit,Fall 2025
3.4-3.5,320-329,P004337,Admit,Fall 2025
3.5-3.7,310-319,P001327,Admit,Fall 2023
3.9-4.0,300-309,P002637,Reject,Fall 2024
3.7-3.9,320-329,P001661,Reject,Fall 2025
3.2-3.4,,P003203,Reject,Fall 2022
2.8-3.0,310-319,P000998,Reject,Fall 2022
3.2-3.4,300-309,P000418,Waitlist,Fall 2025
3.4-3.5,,P002776,Reject,Fall 2023
3.5-3.7,320-329,P004574,Reject,Fall 2022
3.0-3.2,310-319,P000015,Reject,Fall 2025
3.0-3.2,310-319,P004646,Admit,Fall 2026
3.7-3.9,,P000010,Admit,Fall 2026
3.5-3.7,310-319,P003926,Admit,Fall 2026
3.7-3.9,290-299,P003484,Admit,Fall 2023
3.2-3.4,,P000877,Reject,Fall 2022
3.4-3.5,300-309,P004744,Admit,Fall 2025
3.7-3.9,,P003001,Admit,Fall 2022
3.0-3.2,320-329,P002745,Waitlist,Fall 2025
3.2-3.4,310-319,P003156,Waitlist,Fall 2026
3.4-3.5,320-329,P002762,Waitlist,Fall 2024
3.4-3.5,,P004713,Reject,Fall 2026
3.5-3.7,,P003197,Waitlist,Fall 2025
3.5-3.7,,P002706,Admit,Fall 2023
3.0-3.2,,P002417,Admit,Fall 2026
3.2-3.4,,P000561,Reject,Fall 2025
3.7-3.9,,P004113,Admit,Fall 2026
2.8-3.0,320-329,P001898,Admit,Fall 2025
3.5-3.7,310-319,P001016,Admit,Fall 2023
3.5-3.7,,P003895,Admit,Fall 2023
3.2-3.4,,P004103,Reject,Fall 2025
3.2-3.4,300-309,P001283,Reject,Fall 2026
3.5-3.7,310-319,P004116,Reject,Fall 2023
3.5-3.7,330-340,P002841,Waitlist,Fall 2021
3.5-3.7,330-340,P002312,Admit,Fall 2023
3.5-3.7,,P001810,Admit,Fall 2023
3.7-3.9,310-319,P002148,Reject,Fall 2025
3.4-3.5,330-340,P001790,Reject,Fall 2026
3.2-3.4,300-309,P000748,Admit,Fall 2024
3.4-3.5,310-319,P001211,Waitlist,Fall 2026
3.9-4.0,320-329,P004403,Admit,Fall 2026
3.2-3.4,320-329,P004595,Reject,Fall 2026
3.2-3.4,290-299,P004742,Reject,Fall 2024
3.5-3.7,,P000156,Admit,Fall 2022
3.7-3.9,320-329,P003443,Reject,Fall 2023
3.9-4.0,,P004749,Reject,Fall 2025
3.5-3.7,310-319,P001042,Reject,Fall 2025
3.5-3.7,320-329,P004989,Admit,Fall 2026
3.4-3.5,,P003135,Waitlist,Fall 2026
3.5-3.7,300-309,P000886,Admit,Fall 2023
3.7-3.9,330-340,P003583,Admit,Fall 2025
3.5-3.7,,P001532,Admit,Fall 2025
3.2-3.4,,P000624,Admit,Fall 2026
3.2-3.4,310-319,P002015,Reject,Fall 2024
3.9-4.0,310-319,P004524,Reject,Fall 2025
3.5-3.7,290-299,P002511,Admit,Fall 2026
3.5-3.7,310-319,P003878,Reject,Fall 2026
3.5-3.7,,P003184,Reject,Fall 2026
2.8-3.0,,P004938,Reject,Fall 2024
3.5-3.7,,P003414,Admit,Fall 2024
3.7-3.9,320-329,P001609,Reject,Fall 2023
3.2-3.4,300-309,P000787,Reject,Fall 2022
3.5-3.7,,P002068,Reject,Fall 2021
3.9-4.0,330-340,P001363,Admit,Fall 2024
3.9-4.0,310-319,P000094,Reject,Fall 2021
2.8-3.0,,P000184,Reject,Fall 2023
3.5-3.7,,P000004,Reject,Fall 2025
3.5-3.7,300-309,P001803,Reject,Fall 2024
3.7-3.9,290-299,P000055,Admit,Fall 2023
3.0-3.2,,P004697,Reject,Fall 2024
3.5-3.7,,P001750,Admit,Fall 2024
3.2-3.4,,P001409,Reject,Fall 2024
3.9-4.0,,P001788,Waitlist,Fall 2023
3.9-4.0,,P000463,Admit,Fall 2026
3.0-3.2,310-319,P002896,Reject,Fall 2025
3.4-3.5,330-340,P003634,Waitlist,Fall 2023
3.4-3.5,330-340,P001912,Admit,Fall 2026
3.4-3.5,,P000984,Waitlist,Fall 2025
3.5-3.7,320-329,P003830,Admit,Fall 2026
3.5-3.7,320-329,P003171,Waitlist,Fall 2024
3.7-3.9,300-309,P002449,Reject,Fall 2026
3.2-3.4,,P003158,Reject,Fall 2023
3.7-3.9,320-329,P001029,Admit,Fall 2026
3.7-3.9,320-329,P000550,Admit,Fall 2026
3.5-3.7,320-329,P004284,Admit,Fall 2025
3.0-3.2,,P001413,Waitlist,Fall 2021
3.7-3.9,,P000221,Admit,Fall 2025
3.5-3.7,330-340,P002327,Admit,Fall 2022
3.4-3.5,,P002361,Admit,Fall 2026
3.9-4.0,330-340,P001312,Waitlist,Fall 2025
3.7-3.9,,P004488,Reject,Fall 2021
3.7-3.9,310-319,P002305,Reject,Fall 2025
3.2-3.4,320-329,P001637,Waitlist,Fall 2026
3.7-3.9,300-309,P004762,Reject,Fall 2026
3.4-3.5,,P002205,Reject,Fall 2026
3.7-3.9,320-329,P002203,Admit,Fall 2023
3.0-3.2,,P003854,Admit,Fall 2026
3.7-3.9,320-329,P004672,Reject,Fall 2022
3.5-3.7,310-319,P000445,Admit,Fall 2026
3.9-4.0,300-309,P004793,Waitlist,Fall 2023
3.7-3.9,,P000832,Reject,Fall 2025
3.4-3.5,310-319,P002965,Reject,Fall 2026
3.4-3.5,,P000289,Waitlist,Fall 2024
3.5-3.7,310-319,P000736,Waitlist,Fall 2026
3.7-3.9,300-309,P004062,Admit,Fall 2025
3.7-3.9,,P000364,Admit,Fall 2025
3.2-3.4,310-319,P001077,Admit,Fall 2022
3.7-3.9,310-319,P004088,Admit,Fall 2024
3.9-4.0,320-329,P003553,Admit,Fall 2023
3.0-3.2,330-340,P001630,Reject,Fall 2023
3.5-3.7,300-309,P002618,Admit,Fall 2024
3.0-3.2,,P004094,Waitlist,Fall 2023
3.5-3.7,310-319,P002809,Waitlist,Fall 2026
3.5-3.7,290-299,P000957,Waitlist,Fall 2026
3.5-3.7,310-319,P003378,Waitlist,Fall 2024
3.2-3.4,,P001603,Reject,Fall 2024
3.4-3.5,320-329,P001831,Reject,Fall 2025
3.5-3.7,320-329,P004096,Admit,Fall 2024
3.4-3.5,310-319,P001898,Reject,Fall 2023
3.5-3.7,300-309,P004448,Admit,Fall 2024
3.4-3.5,320-329,P003936,Reject,Fall 2023
3.7-3.9,,P000378,Reject,Fall 2026
3.7-3.9,,P000192,Reject,Fall 2023
3.7-3.9,320-329,P001854,Reject,Fall 2026
3.5-3.7,310-319,P001407,Waitlist,Fall 2023
3.2-3.4,,P003152,Admit,Fall 2026
3.7-3.9,310-319,P002378,Waitlist,Fall 2026
3.5-3.7,300-309,P003033,Reject,Fall 2025
3.9-4.0,,P001676,Admit,Fall 2025
3.7-3.9,310-319,P002042,Admit,Fall 2024
3.5-3.7,320-329,P001904,Admit,Fall 2025
3.5-3.7,,P003081,Reject,Fall 2026
3.7-3.9,,P002373,Admit,Fall 2026
3.7-3.9,,P000973,Admit,Fall 2026
3.7-3.9,320-329,P001808,Reject,Fall 2026
3.5-3.7,330-340,P004422,Admit,Fall 2025
2.8-3.0,290-299,P001233,Waitlist,Fall 2026
3.7-3.9,310-319,P002304,Reject,Fall 2024
3.9-4.0,,P004752,Admit,Fall 2025
3.5-3.7,310-319,P002755,Reject,Fall 2024
3.5-3.7,300-309,P002434,Reject,Fall 2026
3.5-3.7,,P002468,Reject,Fall 2025
3.5-3.7,310-319,P004373,Reject,Fall 2022
3.2-3.4,320-329,P001721,Reject,Fall 2026
3.9-4.0,,P000429,Admit,Fall 2024
3.4-3.5,310-319,P001122,Reject,Fall 2024
3.0-3.2,,P004566,Reject,Fall 2023
3.5-3.7,300-309,P002727,Reject,Fall 2026
3.2-3.4,300-309,P002255,Reject,Fall 2025
3.7-3.9,,P002592,Waitlist,Fall 2026
3.2-3.4,300-309,P003626,Admit,Fall 2024
3.2-3.4,310-319,P004505,Reject,Fall 2025
3.7-3.9,,P003749,Reject,Fall 2026
3.7-3.9,320-329,P004028,Waitlist,Fall 2024
3.9-4.0,320-329,P002814,Reject,Fall 2023
3.4-3.5,320-329,P003433,Waitlist,Fall 2026
3.4-3.5,300-309,P000277,Admit,Fall 2023
3.2-3.4,300-309,P001995,Admit,Fall 2024
3.5-3.7,,P000730,Admit,Fall 2024
3.0-3.2,330-340,P003635,Reject,Fall 2026
3.5-3.7,,P000322,Reject,Fall 2021
3.5-3.7,,P002291,Admit,Fall 2025
3.7-3.9,300-309,P003172,Admit,Fall 2026
3.5-3.7,320-329,P000233,Admit,Fall 2026
3.2-3.4,310-319,P003290,Admit,Fall 2023
3.7-3.9,300-309,P001704,Admit,Fall 2026
3.5-3.7,,P002862,Admit,Fall 2024
3.4-3.5,300-309,P001612,Reject,Fall 2025
3.7-3.9,,P001233,Admit,Fall 2022
3.7-3.9,330-340,P001988,Admit,Fall 2023
3.4-3.5,310-319,P000785,Admit,Fall 2024
3.5-3.7,,P002431,Admit,Fall 2024
3.4-3.5,310-319,P001936,Admit,Fall 2025
3.9-4.0,310-319,P003545,Admit,Fall 2025
3.4-3.5,,P001123,Reject,Fall 2021
3.4-3.5,330-340,P004997,Admit,Fall 2026
3.5-3.7,310-319,P002531,Admit,Fall 2026
3.5-3.7,320-329,P002367,Reject,Fall 2026
3.2-3.4,320-329,P003984,Reject,Fall 2024
3.2-3.4,310-319,P003561,Admit,Fall 2026
3.5-3.7,320-329,P001784,Reject,Fall 2024
3.5-3.7,300-309,P000264,Waitlist,Fall 2024
3.9-4.0,,P004455,Admit,Fall 2026
3.9-4.0,,P003482,Admit,Fall 2025
3.7-3.9,300-309,P004591,Admit,Fall 2021
3.5-3.7,290-299,P004757,Admit,Fall 2025
3.7-3.9,320-329,P004565,Reject,Fall 2023
3.7-3.9,,P003013,Admit,Fall 2022
3.7-3.9,330-340,P001448,Reject,Fall 2023
3.7-3.9,300-309,P003701,Admit,Fall 2026
3.4-3.5,300-309,P003465,Admit,Fall 2026
3.5-3.7,310-319,P002672,Reject,Fall 2026
3.5-3.7,,P001925,Admit,Fall 2022
3.4-3.5,310-319,P000715,Reject,Fall 2023
3.5-3.7,300-309,P001372,Reject,Fall 2023
3.7-3.9,300-309,P000151,Admit,Fall 2024
3.9-4.0,320-329,P004462,Admit,Fall 2026
3.5-3.7,,P000818,Admit,Fall 2025
3.7-3.9,310-319,P000567,Admit,Fall 2021
3.4-3.5,,P003852,Admit,Fall 2026
3.2-3.4,310-319,P002297,Reject,Fall 2026
3.4-3.5,300-309,P004348,Admit,Fall 2026
3.4-3.5,,P004069,Reject,Fall 2026
3.7-3.9,310-319,P001105,Admit,Fall 2023
3.7-3.9,320-329,P002149,Admit,Fall 2026
3.0-3.2,310-319,P003095,Reject,Fall 2025
3.5-3.7,290-299,P002297,Admit,Fall 2023
3.7-3.9,,P000112,Admit,Fall 2024
3.9-4.0,,P004535,Admit,Fall 2023
3.0-3.2,320-329,P000065,Admit,Fall 2026
3.9-4.0,,P001375,Reject,Fall 2025
3.9-4.0,320-329,P001134,Admit,Fall 2024
3.7-3.9,330-340,P001381,Admit,Fall 2021
3.4-3.5,310-319,P001396,Admit,Fall 2021
3.7-3.9,,P000448,Admit,Fall 2024
3.9-4.0,300-309,P001637,Admit,Fall 2025
3.2-3.4,310-319,P004191,Admit,Fall 2025
3.9-4.0,,P004321,Reject,Fall 2025
3.4-3.5,330-340,P003816,Admit,Fall 2024
3.2-3.4,,P002309,Admit,Fall 2024
3.9-4.0,310-319,P002072,Admit,Fall 2026
3.5-3.7,,P003903,Waitlist,Fall 2025
3.9-4.0,300-309,P002726,Reject,Fall 2023
3.4-3.5,320-329,P004690,Reject,Fall 2021
3.9-4.0,,P001131,Admit,Fall 2023
3.9-4.0,320-329,P003541,Admit,Fall 2024
3.2-3.4,,P000532,Admit,Fall 2025
3.5-3.7,,P003608,Admit,Fall 2022
3.7-3.9,300-309,P003342,Admit,Fall 2026
3.9-4.0,,P000174,Waitlist,Fall 2026
3.0-3.2,,P001777,Admit,Fall 2025
3.9-4.0,320-329,P000356,Admit,Fall 2024
3.5-3.7,,P003977,Reject,Fall 2026
3.4-3.5,300-309,P001301,Reject,Fall 2023
3.5-3.7,320-329,P003383,Admit,Fall 2025
3.0-3.2,310-319,P002488,Reject,Fall 2025
3.9-4.0,,P000748,Admit,Fall 2025
3.0-3.2,310-319,P001872,Reject,Fall 2025
3.7-3.9,320-329,P002252,Admit,Fall 2023
3.5-3.7,,P003466,Admit,Fall 2026
3.4-3.5,310-319,P002994,Reject,Fall 2023
3.4-3.5,,P003732,Admit,Fall 2025
3.7-3.9,,P003144,Admit,Fall 2022
3.5-3.7,320-329,P003367,Admit,Fall 2026
3.9-4.0,330-340,P002289,Admit,Fall 2023
3.7-3.9,,P003151,Waitlist,Fall 2025
3.4-3.5,330-340,P003575,Reject,Fall 2022
3.0-3.2,,P002789,Reject,Fall 2026
3.5-3.7,310-319,P001041,Admit,Fall 2025
3.7-3.9,,P002158,Admit,Fall 2025
3.5-3.7,,P002013,Admit,Fall 2021
3.4-3.5,320-329,P001575,Reject,Fall 2026
3.5-3.7,310-319,P002321,Admit,Fall 2022
3.7-3.9,320-329,P004785,Admit,Fall 2023
3.9-4.0,310-319,P002571,Admit,Fall 2026
3.4-3.5,320-329,P003806,Admit,Fall 2025
3.2-3.4,310-319,P001698,Reject,Fall 2024
3.5-3.7,320-329,P002690,Admit,Fall 2026
3.4-3.5,,P004358,Admit,Fall 2026
2.8-3.0,,P003662,Reject,Fall 2025
3.5-3.7,330-340,P001504,Admit,Fall 2026
3.2-3.4,310-319,P003623,Reject,Fall 2026
3.5-3.7,,P003663,Admit,Fall 2026
3.4-3.5,310-319,P004393,Reject,Fall 2024
3.5-3.7,330-340,P002477,Admit,Fall 2024
3.7-3.9,,P004845,Admit,Fall 2025
3.4-3.5,,P001924,Reject,Fall 2024
3.7-3.9,330-340,P001624,Admit,Fall 2025
3.9-4.0,310-319,P000618,Admit,Fall 2024
3.4-3.5,330-340,P000212,Reject,Fall 2023
2.8-3.0,330-340,P001752,Reject,Fall 2021
3.5-3.7,320-329,P001494,Reject,Fall 2024
3.4-3.5,310-319,P001487,Admit,Fall 2024
3.5-3.7,,P000344,Admit,Fall 2023
3.5-3.7,320-329,P001809,Admit,Fall 2024
3.5-3.7,330-340,P000554,Reject,Fall 2022
3.4-3.5,,P003958,Reject,Fall 2025
2.8-3.0,,P002484,Admit,Fall 2024
3.7-3.9,,P004008,Admit,Fall 2026
3.7-3.9,310-319,P001585,Admit,Fall 2026
